SampleID,Species,Sex,Individual,Replicate,Diet,DigestiveType,Copy16S
ExtCtrl,Control,NA,NA,Control,NA,NA,NA
G_R1,Giraffe,Female,Pippi,R1,Herbivore,Ruminant,52173782
G_R2,Giraffe,Female,Pippi,R2,Herbivore,Ruminant,55915866
G_R3,Giraffe,Female,Pippi,R3,Herbivore,Ruminant,57076938
MockPosCtrl,MockCommunity,NA,NA,Control,NA,NA,NA
Ot_R1,Otter,Unknown,Unknown,R1,Carnivore,Monogastric carnivore,69633
Ot_R2,Otter,Unknown,Unknown,R2,Carnivore,Monogastric carnivore,90648
Ot_R3,Otter,Unknown,Unknown,R3,Carnivore,Monogastric carnivore,19098
PB_R1,Polar Bear,Female,Anoki,R1,Carnivore,Monogastric carnivore,444926
PB_R2,Polar Bear,Female,Anoki,R2,Carnivore,Monogastric carnivore,26492580
PB_R3,Polar Bear,Female,Anoki,R3,Carnivore,Monogastric carnivore,31723688
PCRCtrl,Control,NA,NA,Control,NA,NA,NA
R_R1,Rhino,Male,Jiwe,R1,Herbivore,Hindgut fermenter,19736883
R_R2,Rhino,Male,Jiwe,R2,Herbivore,Hindgut fermenter,127265242
R_R3,Rhino,Male,Jiwe,R3,Herbivore,Hindgut fermenter,61586295
T_R1,Tiger,Female,Katya,R1,Carnivore,Monogastric carnivore,9179378
T_R2,Tiger,Female,Katya,R2,Carnivore,Monogastric carnivore,1203101
T_R3,Tiger,Female,Katya,R3,Carnivore,Monogastric carnivore,18042787
Z_R1,Zebra,Female,Lydia,R1,Herbivore,Hindgut fermenter,6797021
Z_R2,Zebra,Female,Lydia,R2,Herbivore,Hindgut fermenter,20731372
Z_R3,Zebra,Female,Lydia,R3,Herbivore,Hindgut fermenter,39477348